Neutralized SMILES,ATC Codes,predicted_atc4
Cc1ncc(COC(=O)CCC(=O)OCCN(C)C)c(CO)c1O,N06BX,A07BA07
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,G04BD,A01AA02
C/C(O)=N\\c1ccc(O)cc1,N02BE,A07AA07
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,R02AA,J/08/036
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,P02CA,A07AA07
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,M02AA,U03AA03
CCOC(=O)c1ccc(O)cc1,D01AE,A07AA07
C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,J01AA,A07AA07
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,R01AD,J/01/026
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,G03CB,M01AA03
CCN1C[C@@H](CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,R07AB,E15AA01
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,N04CX,J/02AA
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,R06AE,A07BA08
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,A01AC; R01AD; R03DA,J17AA
CN1C(=O)/C(=N\\NC(N)=S)c2ccccc21,J05AA,"J01AA
"
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,P02BB,A07BC01
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,B01AE,J/01AA
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,N05AX,J/01.AA01
C1COC(NC(C2CC2)C2CC2)=N1,C02AC,J01AA
OCc1cc([C@@H](O)CNCCCCCCOCCCCc2ccccc2)ccc1O,R03AC,J/A03AA03
CSCC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)O1,G01AX,A07BA01
Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,D01AC,M01AA03
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,J01DH,A07BA07
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,N05AD,A07BA07
CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,P01BA,A07AA07
COCc1c(C(=O)OC(C)C)ncc2[nH]c3cccc(Oc4ccc(Cl)cc4)c3c12,N05BX,J01AA04
O=C(O)/C=C/C(=O)O,B03AA; B03AD; D05AX,A02AA01
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,C07AG,A01AA04
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,N05AL,A07BA07
CC1=NN(c2ccccc2)C(=O)C1,N07XX,J01AA02
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,N05AE,A07BC01
CC(N)C12CC3CC(CC(C3)C1)C2,J05AC,A07AA07
CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,P01BF,M01AA08
CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,B06AX,A07AA07
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,N02AB; N02AG,A07BA07
CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,J01CA; J01CR,A07BA07
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,L01ED,"J05AE
"
COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,C01DX,E17AA02
C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,L01XX,A02AA04
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,A16AX,M01AA03
C#CCN(C)Cc1ccccc1,C02KC; C02LL,A02AA01
COC(=O)CCC(=O)CN,L01XD,A35BD
C[N+](C)(C)C[C@H](O)CC(=O)[O-],A16AA,A02AA02
CN[C@@H](C)Cc1ccccc1,N06BA,T01AA01
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,A01AB; G01AX,A01AA01
NC(=O)OCC(COC(N)=O)c1ccccc1,N03AX,"A02AD02
"
O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1,P01AX,A07BA06
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,A10BD; A10BG,M01AA02
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,L01XK,A07BA07
COc1ccc(OC)c([C@H](O)CNC(=O)CN)c1,C01CA,A07BA04
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,C03CC,A07AA07
Nc1ccc(N=Nc2ccccc2)c(N)n1,J01EB,N05BD04
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,C04AA; G02CA,M01AA03
CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,C10AB,J/A03AA09
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,J05AR,A07BA08
COc1ccc(OC)c([C@@H](O)CNC(=O)CN)c1,C01CA,A07BC05
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,N05AH,M01AA03
CCCCCCCCCCCCCCCC[N+](C)(C)C,D08AJ; D11AC; R02AA,A01AA02
Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,M03BC; N04AB,A01AA04
O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,L04AX,J01AA02
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,J05AE,A07AA07
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,N06AA,J/01A
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,D08AH; G01AC; P01AA; R02AA,A01EA02
CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1,C10AC,M01AA08
CC(C[N+](C)(C)C)OC(N)=O,N07AB,J01AA02
CS(=O)(=O)NC(=O)CCC/C=C\\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1,G02AD,A07BA07
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,C01CA; R03AB; R03CB,A07AA07
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,J01FA,J15AA
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,N06DA,J/01AA
CC[C@@H]1[C@@H]2CN(C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]3C[C@H]3CCCCC(F)(F)c3nc4ccc(OC)cc4nc3O2)[C@@H]1C(=O)N[C@]1(C(=O)NS(=O)(=O)C2(C)CC2)C[C@H]1C(F)F,J05AP,J15AA03
NC(N)=NCCN1CCCCCCC1,C02CC; C02LF; S01EX,A01AA10
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,C01BA,A02AA04
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,D01BA,J04AA02
CCc1cc2c(cc1CC)CC(NCC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,R03AC,A07AA07
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,A07EA; H02AB,J05BA01
O=C(O)[C@@H]1O[Sb]2(O)(O[Sb]34(O)O[C@H]([C@H](O)CO)[C@H](O3)[C@H](C(=O)O)O4)O[C@H]([C@H](O)CO)[C@@H]1O2,P01CB,J05BA06
CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,D07AC,J (08)E1
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,N05CM,A07AA07
CC1(C)S[C@@H]2[C@H](NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,J01CA,J05AA03
CN1C(=O)OC(C)(C)C1=O,N03AC,A02AA08
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12,C08CA,A02AA04
O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,L04AX,A07BA07
CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,N02CC,J/M01AA
O=c1[nH]sc2cc(Cl)ccc12,D01AE,"M01AA08
"
NC(=O)N1c2ccccc2CC(O)c2ccccc21,N03AF,J01AA02
CC(C)CNCCOC(=O)c1cccc(N)c1,N01BA,J05BA08
CCN(CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)C=C(C)C=CCNC(=O)C=CC(C)C(C(C)C)OC(=O)C12,J01FG,A07AA07
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,P01BA; P01BB,"M01AB01
"
Cc1ccc(S(=O)(=O)NCl)cc1,D08AX,A07BA07
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,A07EA; D07AC; R01AD; R03AK; R03AL; R03BA,A07AA07
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,A16AX,A07AA07
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,C07AB,A07AA07
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,B01AC,A07BC05
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,A01AD; G02CC; M01AX; M02AA; R02AA; R02AX,J/01AA
